estado,ano,turno,situacao,quantidade,proporcao,uf
Amapá,2014,1,ABSTENÇÃO,47522,0.10435955095658896,AP
Amapá,2014,1,DEMAIS,407846,0.895640449043411,AP
Amapá,2014,2,ABSTENÇÃO,66288,0.14557017620913196,AP
Amapá,2014,2,DEMAIS,389080,0.8544298237908681,AP
Amazonas,1989,1,ABSTENÇÃO,215431,0.2558310760340726,AM
Amazonas,1989,1,DEMAIS,626652,0.7441689239659274,AM
Amazonas,1989,2,ABSTENÇÃO,215431,0.2558310760340726,AM
Amazonas,1989,2,DEMAIS,626652,0.7441689239659274,AM
Amazonas,1994,1,ABSTENÇÃO,306465,0.2770916251810569,AM
Amazonas,1994,1,DEMAIS,799541,0.7229083748189431,AM
Amazonas,1998,1,ABSTENÇÃO,398436,0.29123650302174425,AM
Amazonas,1998,1,DEMAIS,969648,0.7087634969782557,AM
Amazonas,2002,1,ABSTENÇÃO,332419,0.21801870105271304,AM
Amazonas,2002,1,DEMAIS,1192308,0.781981298947287,AM
Amazonas,2002,2,ABSTENÇÃO,453174,0.29728843224491885,AM
Amazonas,2002,2,DEMAIS,1071184,0.7027115677550811,AM
Amazonas,2006,1,ABSTENÇÃO,316270,0.08877599884577447,AM
Amazonas,2006,1,DEMAIS,3246292,0.9112240011542255,AM
Amazonas,2006,2,ABSTENÇÃO,411421,0.11548231756746136,AM
Amazonas,2006,2,DEMAIS,3151211,0.8845176824325386,AM
Amazonas,2010,1,ABSTENÇÃO,406174,0.20027098961502315,AM
Amazonas,2010,1,DEMAIS,1621948,0.7997290103849768,AM
Amazonas,2010,2,ABSTENÇÃO,543726,0.2680778744516795,AM
Amazonas,2010,2,DEMAIS,1484513,0.7319221255483205,AM
Amazonas,2014,1,ABSTENÇÃO,433813,0.19491694486504946,AM
Amazonas,2014,1,DEMAIS,1791817,0.8050830551349506,AM
Amazonas,2014,2,ABSTENÇÃO,503405,0.22617919558465213,AM
Amazonas,2014,2,DEMAIS,1722286,0.7738208044153478,AM
Bahia,1989,1,ABSTENÇÃO,1182664,0.20066031418114544,BA
Bahia,1989,1,DEMAIS,4711197,0.7993396858188546,BA
Bahia,1989,2,ABSTENÇÃO,1182664,0.20066031418114544,BA
Bahia,1989,2,DEMAIS,4711197,0.7993396858188546,BA
Bahia,1994,1,ABSTENÇÃO,1875244,0.26668718350127935,BA
Bahia,1994,1,DEMAIS,5156380,0.7333128164987206,BA
Bahia,1998,1,ABSTENÇÃO,2525806,0.3184232727551452,BA
Bahia,1998,1,DEMAIS,5406422,0.6815767272448547,BA
Bahia,2002,1,ABSTENÇÃO,2168773,0.2531222554398095,BA
Bahia,2002,1,DEMAIS,6399312,0.7468777445601905,BA
Bahia,2002,2,ABSTENÇÃO,2526746,0.2948842763381938,BA
Bahia,2002,2,DEMAIS,6041856,0.7051157236618062,BA
Bahia,2006,1,ABSTENÇÃO,1884249,0.10342386555883826,BA
Bahia,2006,1,DEMAIS,16334457,0.8965761344411617,BA
Bahia,2006,2,ABSTENÇÃO,2121792,0.11646227783685625,BA
Bahia,2006,2,DEMAIS,16096914,0.8835377221631437,BA
Bahia,2010,1,ABSTENÇÃO,2057633,0.2155860922378517,BA
Bahia,2010,1,DEMAIS,7486735,0.7844139077621484,BA
Bahia,2010,2,ABSTENÇÃO,2369486,0.24825172444031976,BA
Bahia,2010,2,DEMAIS,7175205,0.7517482755596803,BA
Bahia,2014,1,ABSTENÇÃO,2360558,0.23189582086942342,BA
Bahia,2014,1,DEMAIS,7818832,0.7681041791305766,BA
Bahia,2014,2,ABSTENÇÃO,2525443,0.24808758028154818,BA
Bahia,2014,2,DEMAIS,7654200,0.7519124197184518,BA
Ceará,1989,1,ABSTENÇÃO,540435,0.1612465785059461,CE
Ceará,1989,1,DEMAIS,2811171,0.8387534214940539,CE
Ceará,1989,2,ABSTENÇÃO,540435,0.1612465785059461,CE
Ceará,1989,2,DEMAIS,2811171,0.8387534214940539,CE
Ceará,1994,1,ABSTENÇÃO,881748,0.22007755832786102,CE
Ceará,1994,1,DEMAIS,3124785,0.779922441672139,CE
Ceará,1998,1,ABSTENÇÃO,1001071,0.23270276364329498,CE
Ceará,1998,1,DEMAIS,3300859,0.767297236356705,CE
Ceará,2002,1,ABSTENÇÃO,945124,0.19668533995774212,CE
Ceará,2002,1,DEMAIS,3860135,0.8033146600422578,CE
Ceará,2002,2,ABSTENÇÃO,1106026,0.23016990343288468,CE
Ceará,2002,2,DEMAIS,3699233,0.7698300965671153,CE
Ceará,2006,1,ABSTENÇÃO,932013,0.08691587425425448,CE
Ceará,2006,1,DEMAIS,9791149,0.9130841257457455,CE
Ceará,2006,2,ABSTENÇÃO,1076504,0.10039053779099859,CE
Ceará,2006,2,DEMAIS,9646658,0.8996094622090014,CE
Ceará,2010,1,ABSTENÇÃO,1178631,0.20051340015576552,CE
Ceará,2010,1,DEMAIS,4699435,0.7994865998442345,CE
Ceará,2010,2,ABSTENÇÃO,1358604,0.23112616940719188,CE
Ceará,2010,2,DEMAIS,4519588,0.7688738305928081,CE
Ceará,2014,1,ABSTENÇÃO,1261344,0.20120630240445347,CE
Ceará,2014,1,DEMAIS,5007565,0.7987936975955465,CE
Ceará,2014,2,ABSTENÇÃO,1363558,0.217506771773719,CE
Ceará,2014,2,DEMAIS,4905479,0.782493228226281,CE
Distrito Federal,2006,1,ABSTENÇÃO,229750,0.069408779190961,DF
Distrito Federal,2006,1,DEMAIS,3080350,0.930591220809039,DF
Distrito Federal,2006,2,ABSTENÇÃO,259284,0.07833116824265128,DF
Distrito Federal,2006,2,DEMAIS,3050816,0.9216688317573487,DF
Distrito Federal,2010,1,ABSTENÇÃO,283177,0.15440891805738677,DF
Distrito Federal,2010,1,DEMAIS,1550765,0.8455910819426132,DF
Distrito Federal,2010,2,ABSTENÇÃO,354146,0.193086114162807,DF
Distrito Federal,2010,2,DEMAIS,1479989,0.806913885837193,DF
Distrito Federal,2014,1,ABSTENÇÃO,221189,0.11667951154641275,DF
Distrito Federal,2014,1,DEMAIS,1674508,0.8833204884535872,DF
Distrito Federal,2014,2,ABSTENÇÃO,239633,0.1263891130457164,DF
Distrito Federal,2014,2,DEMAIS,1656361,0.8736108869542836,DF
Distrito Federal,1989,1,ABSTENÇÃO,74579,0.0869898405514796,DF
Distrito Federal,1989,1,DEMAIS,782751,0.9130101594485204,DF
Distrito Federal,1989,2,ABSTENÇÃO,74579,0.0869898405514796,DF
Distrito Federal,1989,2,DEMAIS,782751,0.9130101594485204,DF
Distrito Federal,1994,1,ABSTENÇÃO,147069,0.13845084994356302,DF
Distrito Federal,1994,1,DEMAIS,915178,0.861549150056437,DF
Distrito Federal,1998,1,ABSTENÇÃO,196417,0.154912159630893,DF
Distrito Federal,1998,1,DEMAIS,1071508,0.845087840369107,DF
Distrito Federal,2002,1,ABSTENÇÃO,234334,0.15448033446765086,DF
Distrito Federal,2002,1,DEMAIS,1282584,0.8455196655323491,DF
Distrito Federal,2002,2,ABSTENÇÃO,207722,0.1367998804033358,DF
Distrito Federal,2002,2,DEMAIS,1310715,0.8632001195966642,DF
Espírito Santo,2006,1,ABSTENÇÃO,393284,0.08417414590693252,ES
Espírito Santo,2006,1,DEMAIS,4278982,0.9158258540930675,ES
Espírito Santo,2006,2,ABSTENÇÃO,451699,0.09667664469445875,ES
Espírito Santo,2006,2,DEMAIS,4220567,0.9033233553055412,ES
Espírito Santo,2010,1,ABSTENÇÃO,438946,0.17404740936823326,ES
Espírito Santo,2010,1,DEMAIS,2083045,0.8259525906317667,ES
Espírito Santo,2010,2,ABSTENÇÃO,527745,0.20925056858011984,ES
Espírito Santo,2010,2,DEMAIS,1994327,0.7907494314198802,ES
Espírito Santo,2014,1,ABSTENÇÃO,501374,0.1890820747007208,ES
Espírito Santo,2014,1,DEMAIS,2150247,0.8109179252992792,ES
Espírito Santo,2014,2,ABSTENÇÃO,575959,0.21720171480893186,ES
